,Epochs,Params,Train loss,Test loss
27,27,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-1.8142]))])",0.7940156166752179,0.5263714857709905
28,28,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-1.8536]))])",0.7901949505011241,0.5252850396481032
29,29,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-1.8920]))])",0.7866223121682803,0.5242967671404283
30,30,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-1.9294]))])",0.7832761391997337,0.5233963150919104
31,31,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-1.9659]))])",0.7801371276378631,0.5225745460367761
32,32,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.0016]))])",0.7771880100170772,0.5218233844381757
33,33,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.0364]))])",0.7744131411115328,0.5211357188954329
34,34,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.0704]))])",0.7717986355225245,0.5205053342389874
35,35,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.1037]))])",0.7693318799138069,0.5199265832469488
36,36,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.1362]))])",0.7670014987389246,0.5193945511903925
37,37,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.1681]))])",0.7647971441348393,0.5189048542611999
38,38,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.1993]))])",0.7627095028758049,0.5184535565225815
39,39,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.2300]))])",0.760730164249738,0.5180371623981652
40,40,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.2600]))])",0.7588513647516568,0.5176525249330912
41,41,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.2894]))])",0.7570661092797916,0.5172968597509983
42,42,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.3183]))])",0.7553679650028546,0.5169676178322941
